GlobalId,IfcType,Name,Material,QuantityName,QuantityValue,MatchedUnitCost,CostUnit,CalculatedElementCost,CostBasis
2g0OC6oRfEpR4HdBbXhEgE,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,1210.0,50.0,m,60500.0,Length (1210.00 m) * UnitCost (50.0)
0d_oFBP1HFvQb5Faeki0yw,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,220.0,90.0,m,19800.0,Length (220.00 m) * UnitCost (90.0)
1qEc_xJ5f3yeVcsCS0rZ7V,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,220.0,50.0,m,11000.0,Length (220.00 m) * UnitCost (50.0)
3$BXedLBf6D967CVOV_ebe,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,959.999792294,90.0,m,86399.98,Length (960.00 m) * UnitCost (90.0)
1lcU7PUgP9PgiWOrFx2wV4,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,959.999792294,50.0,m,47999.99,Length (960.00 m) * UnitCost (50.0)
1Ozn_$8IX7DAmUpaIvALf9,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,1430.00011711,90.0,m,128700.01,Length (1430.00 m) * UnitCost (90.0)
2MAqitKn16se9p5LgkoYa_,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,1430.00011711,50.0,m,71500.01,Length (1430.00 m) * UnitCost (50.0)
3snxK5QIXBjQysiZr3CAkz,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,650.0,50.0,m,32500.0,Length (650.00 m) * UnitCost (50.0)
0QG1UZ5cH2Pv9Pjhl_SLt1,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,650.0,90.0,m,58500.0,Length (650.00 m) * UnitCost (90.0)
2gAZt67mv01hyopJN2Rsjy,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,1715.0,90.0,m,154350.0,Length (1715.00 m) * UnitCost (90.0)
2hTyYpGXf8zwMdBgZbdyko,IfcWall,HSB-element,01 plaatmateriaal - gipsvezelplaat,Length,777.999951864,90.0,m,70020.0,Length (778.00 m) * UnitCost (90.0)
2h$Xm5_hj2BPg_mcmbgCTX,IfcWall,buitenblad,03 mw-baksteen - bruin (staand),Length,1715.0,90.0,m,154350.0,Length (1715.00 m) * UnitCost (90.0)
1HkWuLTqj3CR3hVOSz_5Ak,IfcWall,metalstudwand,99 Lichte scheidingswand - normaal,Length,1716.38780752,28.0,m,48058.86,Length (1716.39 m) * UnitCost (28.0)
2HKSZ_NNT17fle0rgo6vqX,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,3750.0,50.0,m,187500.0,Length (3750.00 m) * UnitCost (50.0)
04Ezr5o2H4NgZr$CrXLBI_,IfcWall,buitenblad,03 mw-baksteen - bruin (liggend),Length,320.0,50.0,m,16000.0,Length (320.00 m) * UnitCost (50.0)
