GlobalId,IfcType,Name,Tag,Material,QuantityName,QuantityValue
2cQ8IsS3f1kgXeLJHb2tT5,IfcWall,buitenblad,A66884B6-703A-41BA-A868-5534650B7745,03 mw-baksteen - bruin (liggend),Length,1000.0
3h7$q77HL7y9ib6jdqEGaU,IfcWall,buitenblad,EB1FFD07-1D15-47F0-9B25-1AD9F439091E,03 mw-baksteen - bruin (liggend),Length,839.999953882
3AzhV62db1MfXJq1r$2nl4,IfcWall,buitenblad,CAF6B7C6-0A79-415A-9853-D01D7F0B1BC4,03 mw-baksteen - bruin (staand),Length,3049.99995388
20qiUKbuDCo9jUCIK_Aq9A,IfcWall,buitenblad,80D2C794-9783-4CC8-9B5E-31253E2B424A,03 mw-baksteen - bruin (liggend),Length,989.999984514
0AvuKvwsjECuqQLpwsHUiy,IfcWall,buitenblad,0AE78539-EB6B-4E33-8D1A-573EB645EB3C,03 mw-baksteen - bruin (staand),Length,3039.99984499
3hnrJo__H1th0M6JbxK0Qr,IfcWall,buitenblad,EBC754F2-FBE4-41DE-B016-19397B5006B5,03 mw-baksteen - bruin (liggend),Length,839.999860473
2g0OC6oRfEpR4HdBbXhEgE,IfcWall,buitenblad,AA018306-C9BA-4ECD-B111-9CB961ACEA8E,03 mw-baksteen - bruin (liggend),Length,1210.0
0d_oFBP1HFvQb5Faeki0yw,IfcWall,buitenblad,27FB23CB-6414-4FE5-A945-3E4A2EB00F3A,03 mw-baksteen - bruin (staand),Length,220.0
1qEc_xJ5f3yeVcsCS0rZ7V,IfcWall,buitenblad,743A6FBB-4C5A-43F2-87E6-D8C700D631DF,03 mw-baksteen - bruin (liggend),Length,220.0
3$BXedLBf6D967CVOV_ebe,IfcWall,buitenblad,FF2E1A27-54BA-4634-9187-31F61FFA8968,03 mw-baksteen - bruin (staand),Length,959.999792294
1lcU7PUgP9PgiWOrFx2wV4,IfcWall,buitenblad,6F99E1D9-7AA6-4966-AB20-6353FB0BA7C4,03 mw-baksteen - bruin (liggend),Length,959.999792294
1Ozn_$8IX7DAmUpaIvALf9,IfcWall,buitenblad,58F71FBF-2128-4734-AC1E-CE44B9295A49,03 mw-baksteen - bruin (staand),Length,1430.00011711
2MAqitKn16se9p5LgkoYa_,IfcWall,buitenblad,962B4B37-5310-46DA-8273-155AAECA293E,03 mw-baksteen - bruin (liggend),Length,1430.00011711
3snxK5QIXBjQysiZr3CAkz,IfcWall,buitenblad,F6C7B505-6928-4BB5-AF36-B23D4330ABBD,03 mw-baksteen - bruin (liggend),Length,650.0
0QG1UZ5cH2Pv9Pjhl_SLt1,IfcWall,buitenblad,1A4017A3-1664-4267-9259-B6BBFE715DC1,03 mw-baksteen - bruin (staand),Length,650.0
2gAZt67mv01hyopJN2Rsjy,IfcWall,buitenblad,AA2A3DC6-1F0E-4006-BF32-CD35C26F6B7C,03 mw-baksteen - bruin (staand),Length,1715.0
2hTyYpGXf8zwMdBgZbdyko,IfcWall,HSB-element,AB77C8B3-421A-48F7-A5A7-2EA8E59FCBB2,01 plaatmateriaal - gipsvezelplaat,Length,777.999951864
2h$Xm5_hj2BPg_mcmbgCTX,IfcWall,buitenblad,ABFE1C05-FABB-422D-9ABE-C26C25A8C761,03 mw-baksteen - bruin (staand),Length,1715.0
1HkWuLTqj3CR3hVOSz_5Ak,IfcWall,metalstudwand,51BA0E15-774B-4331-B0EB-7D873DF852AE,99 Lichte scheidingswand - normaal,Length,1716.38780752
2HKSZ_NNT17fle0rgo6vqX,IfcWall,buitenblad,9151C8FE-5D77-411E-9BE8-035AB21B9D21,03 mw-baksteen - bruin (liggend),Length,3750.0
04Ezr5o2H4NgZr$CrXLBI_,IfcWall,buitenblad,043BDD45-C824-445E-A8F5-FCCD6154B4BE,03 mw-baksteen - bruin (liggend),Length,320.0
0Mr6vY0jPDTRtp4MXIyyQU,IfcWall,buitenblad,16D46E62-02D6-4D75-BDF3-116852F3C69E,03 mw-baksteen - bruin (liggend),Length,650.0
1x4AMhoX5FCvaqi3Pl_pSD,IfcWall,buitenblad,7B10A5AB-CA11-4F33-9934-B0366FFB370D,03 mw-baksteen - bruin (staand),Length,650.0
1toAPIPJD7oPqBKCS6Nz$d,IfcWall,buitenblad,77C8A652-6533-47C9-9D0B-50C7065FDFE7,03 mw-baksteen - bruin (liggend),Length,360.0
3F1ISapgvFFRkUizflbUfj,IfcWall,buitenblad,CF052724-CEAE-4F3D-BB9E-B3DA6F95EA6D,03 mw-baksteen - bruin (staand),Length,360.0
2JtUzxXCjFj9jo3oilNdf7,IfcWall,buitenblad,93DDEF7B-84CB-4FB4-9B72-0F2B2F5E7A47,03 mw-baksteen - bruin (liggend),Length,359.999927726
1bmmlgs9PEJOO_nbRCiVVf,IfcWall,buitenblad,65C30BEA-D896-4E4D-863E-C656CCB1F7E9,03 mw-baksteen - bruin (staand),Length,359.999927726
23WtecHJX4cB$W9D3l89Gz,IfcWall,buitenblad,83837A26-4538-4498-BFE0-24D0EF20943D,03 mw-baksteen - bruin (liggend),Length,359.999927726
22UbO4brrFvQJCWjanZuvV,IfcWall,buitenblad,827A5604-975D-4FE5-A4CC-82D9318F8E5F,03 mw-baksteen - bruin (liggend),Length,320.0
3zYx8Hv3PByAOvjIddv_ZR,IfcWall,buitenblad,FD8BB211-E436-4BF0-A639-B529E7E7E8DB,03 mw-baksteen - bruin (staand),Length,1715.0
22wVacMRr0RfER8E2O$vLe,IfcWall,HSB-element,82E9F926-59BD-406E-939B-20E098FF9568,01 plaatmateriaal - gipsvezelplaat,Length,81.5781322434
28HZd$WzTErO4P_xcWWr2R,IfcWall,HSB-element,884639FF-83D7-4ED5-8119-FBB9A083509B,01 plaatmateriaal - gipsvezelplaat,Length,68.7818212808
3INImExTrECfjOcTurcdR3,IfcWall,HSB-element,D25D2C0E-EDDD-4E32-9B58-99DE359A76C3,01 plaatmateriaal - gipsvezelplaat,Length,81.2918764141
0JRfJnbfHFgQD3Cu1Y3Ti9,IfcWall,HSB-element,136E94F1-9694-4FA9-A343-3380620DDB09,01 plaatmateriaal - gipsvezelplaat,Length,68.7819207942
3i6YzLPHXAZOX3pEL9NEAY,IfcWall,HSB-element,EC1A2F55-6518-4A8D-8843-CCE5495CE2A2,01 plaatmateriaal - gipsvezelplaat,Length,81.5782440885
2S6$Rb90X6tvy86v8wMz92,IfcWall,HSB-element,9C1BF6E5-2408-46DF-9F08-1B923A5BD242,01 plaatmateriaal - gipsvezelplaat,Length,777.999951864
0WbxJm47zCSxPd8I4EJBzV,IfcWall,buitenblad,2097B4F0-107F-4C73-B667-21210E4CBF5F,03 mw-baksteen - bruin (liggend),Length,143.774645522
0NsAQU_RzBew4mp1gDoLKM,IfcWall,buitenblad,17D8A69E-F9BF-4BA3-A130-CC1A8DC95516,03 mw-baksteen - bruin (liggend),Length,777.999951864
3pWgo6GgjDmBfRg2bfmX7L,IfcWall,buitenblad,F382AC86-42AB-4DC0-BA5B-A82969C211D5,03 mw-baksteen - bruin (liggend),Length,144.060706255
2Dd7N80nT6xvZLlvwl32zj,IfcWall,buitenblad,8D9C75C8-0317-46EF-98D5-BF9EAF0C2F6D,03 mw-baksteen - bruin (liggend),Length,2449.99979229
3aKP_9cLT3Ieogd56ggYoH,IfcWall,buitenblad,E4519F89-9957-434A-8CAA-9C51AAAA2C91,03 mw-baksteen - bruin (liggend),Length,839.999953882
0odjMCkULFYPcxRhNspVwF,IfcWall,buitenblad,329ED58C-B9E5-4F89-99BB-6EB5F6CDFE8F,03 mw-baksteen - bruin (liggend),Length,1210.0
2BnTMgxmnCCvzxNQCnUXN0,IfcWall,buitenblad,8BC5D5AA-EF0C-4C33-9F7B-5DA3317A15C0,03 mw-baksteen - bruin (staand),Length,577.773489944
1exrUt$krCl8d_cqMo9LQ1,IfcWall,buitenblad,68EF57B7-FEED-4CBC-89FE-9B45B2255681,03 mw-baksteen - bruin (staand),Length,143.774502523
1K8DWpehnD0BEnccqnEzBM,IfcWall,HSB-element,5420D833-A2BC-4D00-B3B1-9A6D313BD2D6,01 plaatmateriaal - gipsvezelplaat,Length,81.5781322434
2PDIGVW1b4Nhx5UPa0fgz7,IfcWall,HSB-element,9935241F-8019-445E-BEC5-799900A6AF47,01 plaatmateriaal - gipsvezelplaat,Length,68.7818212808
